2025-05-01 04:14:32:647 98 sec: 7805000 operations; 81000 current ops/sec; est completion in 3 minutes [INSERT: Count=81000, Max=110719, Min=31920, Avg=58316.35, 90=85119, 99=110719, 99.9=110719, 99.99=110719] 
2025-05-01 04:14:33:647 99 sec: 7886000 operations; 81000 current ops/sec; est completion in 3 minutes [INSERT: Count=81000, Max=111487, Min=33920, Avg=59381.93, 90=81087, 99=111487, 99.9=111487, 99.99=111487] 
2025-05-01 04:14:34:647 100 sec: 7963000 operations; 77000 current ops/sec; est completion in 3 minutes [INSERT: Count=77000, Max=89343, Min=35424, Avg=48871.27, 90=68927, 99=89343, 99.9=89343, 99.99=89343] 
2025-05-01 04:14:35:647 101 sec: 8047000 operations; 84000 current ops/sec; est completion in 3 minutes [INSERT: Count=84000, Max=100287, Min=32704, Avg=49965.24, 90=71359, 99=100287, 99.9=100287, 99.99=100287] 
2025-05-01 04:14:36:647 102 sec: 8127000 operations; 80000 current ops/sec; est completion in 3 minutes [INSERT: Count=80000, Max=89279, Min=32464, Avg=45868.5, 90=65407, 99=89279, 99.9=89279, 99.99=89279] 
2025-05-01 04:14:37:647 103 sec: 8207000 operations; 80000 current ops/sec; est completion in 3 minutes [INSERT: Count=80000, Max=101823, Min=31760, Avg=43282.9, 90=58399, 99=101823, 99.9=101823, 99.99=101823] 
2025-05-01 04:14:38:647 104 sec: 8285000 operations; 78000 current ops/sec; est completion in 3 minutes [INSERT: Count=78000, Max=57983, Min=34464, Avg=38946.87, 90=48895, 99=57983, 99.9=57983, 99.99=57983] 
2025-05-01 04:14:39:647 105 sec: 8366000 operations; 81000 current ops/sec; est completion in 3 minutes [INSERT: Count=81000, Max=107263, Min=32128, Avg=46692.84, 90=58655, 99=107263, 99.9=107263, 99.99=107263] 
2025-05-01 04:14:40:647 106 sec: 8445000 operations; 79000 current ops/sec; est completion in 3 minutes [INSERT: Count=79000, Max=121215, Min=31792, Avg=54660.15, 90=80447, 99=121215, 99.9=121215, 99.99=121215] 
2025-05-01 04:14:41:647 107 sec: 8525000 operations; 80000 current ops/sec; est completion in 3 minutes [INSERT: Count=80000, Max=165631, Min=34240, Avg=82855.4, 90=124607, 99=165631, 99.9=165631, 99.99=165631] 
2025-05-01 04:14:42:647 108 sec: 8607000 operations; 82000 current ops/sec; est completion in 3 minutes [INSERT: Count=82000, Max=148607, Min=36480, Avg=70134.63, 90=113087, 99=148607, 99.9=148607, 99.99=148607] 
